Year,Department,JobTitle,AveAnnualRate,NumEmployees
2010,Air Pollution Control,Air Poll Compliance Off U310  ,49289.06667,6
2010,Air Pollution Control,Air Pollution Tech II U310    ,36583.73333,6
2010,Air Pollution Control,APCD Regulatory Coordinator   ,66310.4,1
2010,Air Pollution Control,Assistant Director            ,93841.8,1
2010,Air Pollution Control,Business Specialist           ,38459.2,2
2010,Air Pollution Control,Community Outreach Coord      ,39520,1
2010,Air Pollution Control,Co-Op Education Student       ,16848,1
2010,Air Pollution Control,Engineer I                    ,56435.2,13
2010,Air Pollution Control,Engineer Supvsr               ,64105.6,1
2010,Air Pollution Control,Env Compliance Supvsr         ,54842.66667,3
2010,Air Pollution Control,Environmental Coordinator     ,41565.33333,9
2010,Air Pollution Control,Environmental Engineer Coord  ,62857.6,4
2010,Air Pollution Control,Environmental Engineer Mngr   ,76502.4,1
2010,Air Pollution Control,Environmental Engineer Spec   ,40102.4,1
2010,Air Pollution Control,Environmental Engineer Supvsr ,68442.4,2
2010,Air Pollution Control,Environmental Manager         ,67256.8,2
2010,Air Pollution Control,Environmental Specialist U310 ,43000.53333,9
2010,Air Pollution Control,Executive Assistant           ,35360,1
2010,Air Pollution Control,Info Systems Analyst          ,50946.13333,3
2010,Air Pollution Control,Local Area Network Analyst    ,48609.6,1
2010,Air Pollution Control,Management Assistant U310     ,37523.2,3
2010,Air Pollution Control,Public Information Supvsr     ,60444.8,1
2011,Air Pollution Control,Administrative Asst           ,37523.2,1
2011,Air Pollution Control,Administrative Supvsr II      ,47528,1
2011,Air Pollution Control,Air Poll Compliance Off U310  ,47979.65714,7
2011,Air Pollution Control,Air Pollution Tech II U310    ,38309.44,5
2011,Air Pollution Control,APCD Engineer I               ,55861.86667,9
2011,Air Pollution Control,APCD Engineer II              ,60455.2,6
2011,Air Pollution Control,APCD Engineer III             ,65291.2,3
2011,Air Pollution Control,APCD Regulatory Coordinator   ,66310.4,1
2011,Air Pollution Control,Assistant Director            ,93841.8,1
2011,Air Pollution Control,Business Specialist           ,39395.2,1
2011,Air Pollution Control,Community Outreach Coord      ,39520,1
2011,Air Pollution Control,Engineer Supvsr               ,66102.4,1
2011,Air Pollution Control,Env Compliance Supvsr         ,53440.4,4
2011,Air Pollution Control,Environmental Coordinator     ,41362.88,10
2011,Air Pollution Control,Environmental Engineer Mngr   ,76502.4,1
2011,Air Pollution Control,Environmental Engineer Supvsr ,68442.4,2
2011,Air Pollution Control,Environmental Manager         ,67256.8,2
2011,Air Pollution Control,Environmental Specialist U310 ,44998.2,8
2011,Air Pollution Control,Executive Assistant           ,35360,1
2011,Air Pollution Control,Info Systems Analyst          ,50946.13333,3
2011,Air Pollution Control,Local Area Network Analyst    ,48609.6,1
2011,Air Pollution Control,Management Assistant U310     ,38459.2,2
2011,Air Pollution Control,Public Information Supvsr     ,57231.2,2
2012,Air Pollution Control,Administrative Asst           ,38272,1
2012,Air Pollution Control,Administrative Supvsr II      ,48484.8,1
2012,Air Pollution Control,Air Poll Compliance Off U310  ,45385.6,6
2012,Air Pollution Control,Air Pollution Tech II U310    ,36852.4,4
2012,Air Pollution Control,APCD Engineer I               ,57210.4,8
2012,Air Pollution Control,APCD Engineer II              ,60952.91429,7
2012,Air Pollution Control,APCD Engineer III             ,65556.4,4
2012,Air Pollution Control,APCD Regulatory Coordinator   ,67641.6,1
2012,Air Pollution Control,Community Outreach Coord      ,40310.4,1
2012,Air Pollution Control,Director                      ,95719,1
2012,Air Pollution Control,Engineer Supvsr               ,67433.6,1
2012,Air Pollution Control,Env Compliance Supvsr         ,53996.8,3
2012,Air Pollution Control,Environmental Coordinator     ,40630.72,10
2012,Air Pollution Control,Environmental Engineer Mngr   ,78041.6,1
2012,Air Pollution Control,Environmental Engineer Supvsr ,69815.2,2
2012,Air Pollution Control,Environmental Manager         ,68598.4,2
2012,Air Pollution Control,Environmental Specialist U310 ,42832.87273,11
2012,Air Pollution Control,Executive Assistant           ,36067.2,1
2012,Air Pollution Control,Info Systems Analyst          ,51965.33333,3
2012,Air Pollution Control,Local Area Network Analyst    ,49587.2,1
2012,Air Pollution Control,Management Assistant U310     ,38688,2
2012,Air Pollution Control,Public Information Supvsr     ,55099.2,1
2013,Air Pollution Control,Administrative Asst           ,39041.6,1
2013,Air Pollution Control,Administrative Supvsr II      ,48484.8,1
2013,Air Pollution Control,Air Poll Compliance Off U310  ,41121.6,7
2013,Air Pollution Control,Air Pollution Tech II U310    ,37185.2,4
2013,Air Pollution Control,APCD Engineer I               ,58354.4,8
2013,Air Pollution Control,APCD Engineer II              ,62174.17143,7
2013,Air Pollution Control,APCD Engineer III             ,66123.2,3
2013,Air Pollution Control,APCD Regulatory Coordinator   ,68993.6,1
2013,Air Pollution Control,Community Outreach Coord      ,43180.8,1
2013,Air Pollution Control,Director                      ,97632.6,1
2013,Air Pollution Control,Engineer Supvsr               ,68785.6,1
2013,Air Pollution Control,Env Compliance Supvsr         ,55071.46667,3
2013,Air Pollution Control,Environmental Coordinator     ,41724.8,8
2013,Air Pollution Control,Environmental Engineer Mngr   ,79601.6,1
2013,Air Pollution Control,Environmental Engineer Supvsr ,71208.8,2
2013,Air Pollution Control,Environmental Manager         ,69971.2,2
2013,Air Pollution Control,Environmental Specialist U310 ,41967.46667,9
2013,Air Pollution Control,Executive Assistant           ,36795.2,1
2013,Air Pollution Control,Info Systems Analyst          ,53005.33333,3
2013,Air Pollution Control,Interim Director              ,80329.6,1
2013,Air Pollution Control,Local Area Network Analyst    ,49587.2,1
2013,Air Pollution Control,Management Assistant U310     ,38688,2
2013,Air Pollution Control,Public Information Supvsr     ,56201.6,1
2014,Air Pollution Control,Administrative Coordinator    ,42848,1
2014,Air Pollution Control,Air Poll Compliance Off U310  ,41419.73333,3
2014,Air Pollution Control,Air Pollution Tech II U310    ,36795.2,2
2014,Air Pollution Control,APCD Air Monitoring Prog Mgr  ,69368,1
2014,Air Pollution Control,APCD Air Monitoring Proj Supv ,51209.6,1
2014,Air Pollution Control,APCD Air Quality Assurance Coo,46176,2
2014,Air Pollution Control,APCD Compliance & Enf Coord   ,43201.6,1
2014,Air Pollution Control,APCD Compliance Officer U310  ,45812,6
2014,Air Pollution Control,APCD Data Processing Coord    ,50003.2,1
2014,Air Pollution Control,APCD Enforcement Supervisor   ,67246.4,1
2014,Air Pollution Control,APCD Engineer I               ,56615.70909,11
2014,Air Pollution Control,APCD Engineer II              ,63243.88571,7
2014,Air Pollution Control,APCD Engineer III             ,68286.4,3
2014,Air Pollution Control,APCD Field Technician U310    ,48048,3
2014,Air Pollution Control,APCD Quality Control Tech U310,41017.6,1
2014,Air Pollution Control,APCD Records Coordinator      ,36192,1
2014,Air Pollution Control,APCD Regulatory Coordinator   ,44969.6,1
2014,Air Pollution Control,Assistant Director            ,81601,1
2014,Air Pollution Control,Communications Specialist     ,60192.6,1
2014,Air Pollution Control,Community Outreach Coord      ,46259.2,1
2014,Air Pollution Control,Director                      ,94276,1
2014,Air Pollution Control,Env Compliance Supvsr         ,57002.4,2
2014,Air Pollution Control,Environmental Coordinator     ,42707.6,4
2014,Air Pollution Control,Environmental Engineer Mngr   ,78093.6,2
2014,Air Pollution Control,Environmental Engineer Supvsr ,72855.46667,3
2014,Air Pollution Control,Environmental Specialist U310 ,41464.8,2
2014,Air Pollution Control,Executive Administrator       ,68572.4,1
2014,Air Pollution Control,Executive Assistant           ,29432,1
2014,Air Pollution Control,Info Systems Analyst          ,49816,2
2014,Air Pollution Control,Management Assistant U310     ,40497.6,2
2014,Air Pollution Control,Performance Analyst           ,57137.6,1
2015,Air Pollution Control,Administrative Coordinator    ,43700.8,1
2015,Air Pollution Control,APCD Air Monitoring Prog Mgr  ,70761.6,1
2015,Air Pollution Control,APCD Air Monitoring Proj Supv ,56409.6,1
2015,Air Pollution Control,APCD Air Quality Assurance Coo,47091.2,2
2015,Air Pollution Control,APCD Compliance & Enf Coord   ,43201.6,1
2015,Air Pollution Control,APCD Compliance Officer U310  ,45296.45714,7
2015,Air Pollution Control,APCD Data Processing Coord    ,55078.4,1
2015,Air Pollution Control,APCD Enforcement Supervisor   ,68598.4,1
2015,Air Pollution Control,APCD Engineer I               ,55348.8,8
2015,Air Pollution Control,APCD Engineer II              ,64981.8,8
2015,Air Pollution Control,APCD Engineer III             ,69659.2,3
2015,Air Pollution Control,APCD Field Technician U310    ,49011.73333,3
2015,Air Pollution Control,APCD Quality Control Tech U310,40991.6,4
2015,Air Pollution Control,APCD Records Coordinator      ,36920,1
2015,Air Pollution Control,APCD Regulatory Coordinator   ,45864,1
2015,Air Pollution Control,Assistant Director            ,83233.8,1
2015,Air Pollution Control,Communications Specialist     ,61396.4,1
2015,Air Pollution Control,Community Outreach Coord      ,47174.4,1
2015,Air Pollution Control,Director                      ,96161,1
2015,Air Pollution Control,Env Compliance Supvsr         ,56409.6,1
2015,Air Pollution Control,Environmental Coordinator     ,43680,3
2015,Air Pollution Control,Environmental Engineer Mngr   ,79653.6,2
2015,Air Pollution Control,Environmental Engineer Supvsr ,74311.46667,3
2015,Air Pollution Control,Executive Administrator       ,69942.6,1
2015,Air Pollution Control,Executive Assistant           ,30014.4,1
2015,Air Pollution Control,Info Systems Analyst          ,41142.4,1
2015,Air Pollution Control,Management Assistant U310     ,48609.6,1
2015,Air Pollution Control,Performance Analyst           ,58281.6,1
2016,Air Pollution Control,Administrative Coordinator    ,44574.4,1
2016,Air Pollution Control,APCD Air Monitoring Prog Mgr  ,72176,1
2016,Air Pollution Control,APCD Air Monitoring Proj Supv ,56856.8,2
2016,Air Pollution Control,APCD Air Quality Assurance Coo,48027.2,2
2016,Air Pollution Control,APCD Compliance & Enf Coord   ,42692,2
2016,Air Pollution Control,APCD Compliance Officer U310  ,47056.53333,6
2016,Air Pollution Control,APCD Enforcement Supervisor   ,68598.4,1
2016,Air Pollution Control,APCD Engineer I               ,55263,8
2016,Air Pollution Control,APCD Engineer II              ,66203.8,8
2016,Air Pollution Control,APCD Engineer III             ,72051.2,3
2016,Air Pollution Control,APCD Field Technician U310    ,49996.26667,3
2016,Air Pollution Control,APCD Quality Control Tech U310,41849.6,5
2016,Air Pollution Control,APCD Records Coordinator      ,37845.6,2
2016,Air Pollution Control,APCD Regulatory Coordinator   ,51230.4,1
2016,Air Pollution Control,Assistant Director            ,89141,1
2016,Air Pollution Control,Communications Specialist     ,62623.6,1
2016,Air Pollution Control,Community Outreach Coord      ,48110.4,1
2016,Air Pollution Control,Director                      ,104041.6,1
2016,Air Pollution Control,Env Compliance Supvsr         ,51209.6,1
2016,Air Pollution Control,Environmental Comp Asstnc Coor,41974.4,1
2016,Air Pollution Control,Environmental Coordinator     ,45843.2,2
2016,Air Pollution Control,Environmental Engineer Mngr   ,84489.6,2
2016,Air Pollution Control,Environmental Engineer Supvsr ,75802.13333,3
2016,Air Pollution Control,Executive Administrator       ,74908.6,1
2016,Air Pollution Control,Executive Assistant           ,33675.2,1
2016,Air Pollution Control,Management Assistant U310     ,49587.2,1
2016,Air Pollution Control,Technology Project Coordinator,65395.2,1
2017,Air Pollution Control,Administrative Coordinator    ,44574.4,1
2017,Air Pollution Control,APCD Air Monitoring Prog Mgr  ,72176,1
2017,Air Pollution Control,APCD Air Monitoring Proj Supv ,57532.8,1
2017,Air Pollution Control,APCD Air Quality Assurance Coo,48027.2,2
2017,Air Pollution Control,APCD Compliance & Enf Coord   ,42692,2
2017,Air Pollution Control,APCD Compliance Officer U310  ,49162.88,5
2017,Air Pollution Control,APCD Data Processing Coord    ,58988.8,1
2017,Air Pollution Control,APCD Engineer I               ,55931.2,6
2017,Air Pollution Control,APCD Engineer II              ,67044.34286,7
2017,Air Pollution Control,APCD Engineer III             ,72051.2,3
2017,Air Pollution Control,APCD Field Technician U310    ,49150.4,1
2017,Air Pollution Control,APCD Quality Control Tech U310,42224,3
2017,Air Pollution Control,APCD Regulatory Coordinator   ,51230.4,1
2017,Air Pollution Control,Assistant Director            ,89141,1
2017,Air Pollution Control,Communications Specialist     ,62623.6,1
2017,Air Pollution Control,Community Outreach Coord      ,48110.4,1
2017,Air Pollution Control,Director                      ,104041.6,1
2017,Air Pollution Control,Env Compliance Supvsr         ,51209.6,1
2017,Air Pollution Control,Environmental Comp Asstnc Coor,41974.4,1
2017,Air Pollution Control,Environmental Coordinator     ,45843.2,2
2017,Air Pollution Control,Environmental Engineer Mngr   ,84489.6,2
2017,Air Pollution Control,Environmental Engineer Supvsr ,75802.13333,3
2017,Air Pollution Control,Executive Administrator       ,74908.6,1
2017,Air Pollution Control,Executive Assistant           ,33675.2,1
2017,Air Pollution Control,Management Assistant U310     ,49587.2,1
2017,Air Pollution Control,Technology Project Coordinator,65395.2,1
2008,Belle of Louisville,Accountant                    ,23493.6,2
2008,Belle of Louisville,Assistant Captain             ,38563.2,1
2008,Belle of Louisville,Assistant Engineer            ,31304,1
2008,Belle of Louisville,Bartender                     ,10395.125,8
2008,Belle of Louisville,Captain-Master                ,63356.8,1
2008,Belle of Louisville,Captain-Pilot                 ,26461.37,4
2008,Belle of Louisville,Carpenter                     ,29936.4,1
2008,Belle of Louisville,Cashier - Belle of Louisville ,20800,2
2008,Belle of Louisville,Charter Sales Representative  ,32947.2,1
2008,Belle of Louisville,Chief Engineer                ,46176,2
2008,Belle of Louisville,Chief Executive Officer       ,79185.6,1
2008,Belle of Louisville,Chief Purser                  ,42016,1
2008,Belle of Louisville,Deckhand                      ,16403.59259,27
2008,Belle of Louisville,Education Coordinator         ,19780.8,1
2008,Belle of Louisville,Engineering Assistant         ,16029,4
2008,Belle of Louisville,Group Sales & Marketing Mgr   ,57096,2
2008,Belle of Louisville,Group Sales & Marketing Repres,28173.6,2
2008,Belle of Louisville,Hospitality Worker            ,9421.176471,17
2008,Belle of Louisville,Mate-Licensed                 ,25098.66667,3
2008,Belle of Louisville,Purser                        ,25480,2
2008,Belle of Louisville,Retail Sales/Gift Shop Superv ,27851.2,3
2009,Belle of Louisville,Accountant                    ,23493.6,2
2009,Belle of Louisville,Assistant Captain             ,38563.2,1
2009,Belle of Louisville,Assistant Engineer            ,31304,1
2009,Belle of Louisville,Bartender                     ,10891.11111,9
2009,Belle of Louisville,Captain-Master                ,63356.8,1
2009,Belle of Louisville,Captain-Pilot                 ,26945.44667,6
2009,Belle of Louisville,Cashier - Belle of Louisville ,20800,1
2009,Belle of Louisville,Charter Sales Representative  ,32947.2,1
2009,Belle of Louisville,Chief Engineer                ,46176,2
2009,Belle of Louisville,Chief Executive Officer       ,79185.6,1
2009,Belle of Louisville,Chief Purser                  ,42016,1
2009,Belle of Louisville,Deckhand                      ,16384.33333,27
2009,Belle of Louisville,Education Coordinator         ,19780.8,1
2009,Belle of Louisville,Engineering Assistant         ,17555.2,5
2009,Belle of Louisville,Group Sales & Marketing Mgr   ,54995.2,1
2009,Belle of Louisville,Group Sales & Marketing Repres,27560,2
2009,Belle of Louisville,Hospitality Worker            ,11391.25,16
2009,Belle of Louisville,Mate-Licensed                 ,25098.66667,3
2009,Belle of Louisville,Purser                        ,25480,2
2009,Belle of Louisville,Retail Sales/Gift Shop Superv ,24960,1
2010,Belle of Louisville,Accountant                    ,23826.4,2
2010,Belle of Louisville,Assistant Engineer            ,31928,1
2010,Belle of Louisville,Bartender                     ,9181.25,8
2010,Belle of Louisville,Captain-Master                ,64625.6,1
2010,Belle of Louisville,Captain-Pilot                 ,32066.84,7
2010,Belle of Louisville,Cashier - Belle of Louisville ,20800,1
2010,Belle of Louisville,Chief Engineer                ,47101.6,2
2010,Belle of Louisville,Chief Executive Officer       ,80766.4,1
2010,Belle of Louisville,Chief Purser                  ,42848,1
2010,Belle of Louisville,Deckhand                      ,16407.69565,23
2010,Belle of Louisville,Education Coordinator         ,20176,1
2010,Belle of Louisville,Engineering Assistant         ,18315.88571,7
2010,Belle of Louisville,Group Sales & Marketing Coord ,36088,1
2010,Belle of Louisville,Group Sales & Marketing Mgr   ,56097.6,1
2010,Belle of Louisville,Group Sales & Marketing Repres,27840.8,2
2010,Belle of Louisville,Hospitality Worker            ,7341.578947,19
2010,Belle of Louisville,Mate-Licensed                 ,27761.06667,3
2010,Belle of Louisville,Purser                        ,25306.66667,3
2010,Belle of Louisville,Retail Sales/Gift Shop Superv ,24970.4,2
2011,Belle of Louisville,Accountant                    ,23826.4,2
2011,Belle of Louisville,Assistant Engineer            ,31928,1
2011,Belle of Louisville,Bartender                     ,10167.625,8
2011,Belle of Louisville,Captain-Master                ,64625.6,1
2011,Belle of Louisville,Captain-Pilot                 ,32958.26857,7
2011,Belle of Louisville,Cashier - Belle of Louisville ,21320,1
2011,Belle of Louisville,Chief Engineer                ,47101.6,2
2011,Belle of Louisville,Chief Executive Officer       ,80766.4,1
2011,Belle of Louisville,Chief Purser                  ,42848,1
2011,Belle of Louisville,Deckhand                      ,16806.4,25
2011,Belle of Louisville,Education Coordinator         ,20176,1
2011,Belle of Louisville,Engineering Assistant         ,13058.31429,7
2011,Belle of Louisville,Group Sales & Marketing Coord ,36088,1
2011,Belle of Louisville,Group Sales & Marketing Mgr   ,56097.6,1
2011,Belle of Louisville,Group Sales & Marketing Repres,27906.66667,3
2011,Belle of Louisville,Hospitality Worker            ,8486.111111,18
2011,Belle of Louisville,Mate-Licensed                 ,27761.06667,3
2011,Belle of Louisville,Mate-Unlicensed               ,14820,2
2011,Belle of Louisville,Purser                        ,25306.66667,3
2011,Belle of Louisville,Retail Sales/Gift Shop Superv ,24980.8,1
2012,Belle of Louisville,Accountant                    ,25324,2
2012,Belle of Louisville,Assistant Engineer            ,31928,1
2012,Belle of Louisville,Bartender                     ,9367.93,8
2012,Belle of Louisville,Belle of Louisville           ,10400,1
2012,Belle of Louisville,Captain-Master                ,65915.2,1
2012,Belle of Louisville,Captain-Pilot                 ,32260.085,8
2012,Belle of Louisville,Cashier - Belle of Louisville ,21320,1
2012,Belle of Louisville,Chief Engineer                ,48037.6,2
2012,Belle of Louisville,Chief Executive Officer       ,82388.8,1
2012,Belle of Louisville,Chief Purser                  ,47860.8,1
2012,Belle of Louisville,Deckhand                      ,16496.13333,24
2012,Belle of Louisville,Education Coordinator         ,20571.2,1
2012,Belle of Louisville,Engineering Assistant         ,13168.25714,7
2012,Belle of Louisville,Group Sales & Marketing Mgr   ,50096.8,2
2012,Belle of Louisville,Group Sales & Marketing Repres,25660.26667,3
2012,Belle of Louisville,Hospitality Worker            ,8077.333333,15
2012,Belle of Louisville,Mate-Licensed                 ,30336.8,2
2012,Belle of Louisville,Mate-Unlicensed               ,15116.4,2
2012,Belle of Louisville,Purser                        ,25480,2
2012,Belle of Louisville,Retail Sales/Gift Shop Superv ,25480,1
2013,Belle of Louisville,Accountant                    ,38084.8,1
2013,Belle of Louisville,Assistant Engineer            ,38188.8,1
2013,Belle of Louisville,Bartender                     ,9224.742222,9
2013,Belle of Louisville,Captain-Master                ,67225.6,1
2013,Belle of Louisville,Captain-Pilot                 ,32702.085,8
2013,Belle of Louisville,Cashier - Belle of Louisville ,21840,1
2013,Belle of Louisville,Chief Engineer                ,48994.4,2
2013,Belle of Louisville,Chief Executive Officer       ,84032,1
2013,Belle of Louisville,Chief Purser                  ,48817.6,1
2013,Belle of Louisville,Deckhand                      ,15914.22857,28
2013,Belle of Louisville,Education Coordinator         ,20987.2,1
2013,Belle of Louisville,Engineering Assistant         ,12616.06667,6
2013,Belle of Louisville,Group Sales & Marketing Mgr   ,44969.6,1
2013,Belle of Louisville,Group Sales & Marketing Repres,27206.4,3
2013,Belle of Louisville,Hospitality Worker            ,8392.8,20
2013,Belle of Louisville,Mate-Licensed                 ,30950.4,2
2013,Belle of Louisville,Mate-Unlicensed               ,15412.8,2
2013,Belle of Louisville,Purser                        ,19102.02667,3
2013,Belle of Louisville,Retail Sales/Gift Shop Superv ,26000,1
2014,Belle of Louisville,Accountant                    ,38854.4,1
2014,Belle of Louisville,Assistant Engineer            ,38958.4,1
2014,Belle of Louisville,Bartender                     ,9323.04,13
2014,Belle of Louisville,Belle of Louisville           ,17056,5
2014,Belle of Louisville,Captain-Master                ,68577.6,1
2014,Belle of Louisville,Captain-Pilot                 ,33401.485,8
2014,Belle of Louisville,Cashier - Belle of Louisville ,22256,1
2014,Belle of Louisville,Chief Engineer                ,49982.4,2
2014,Belle of Louisville,Chief Executive Officer       ,85716.8,1
2014,Belle of Louisville,Chief Purser                  ,49795.2,1
2014,Belle of Louisville,Deckhand                      ,17102.22222,18
2014,Belle of Louisville,Education Coordinator         ,23504,1
2014,Belle of Louisville,Engineering Assistant         ,14854.91429,7
2014,Belle of Louisville,Group Sales & Marketing Mgr   ,45884.8,1
2014,Belle of Louisville,Group Sales & Marketing Repres,27747.2,3
2014,Belle of Louisville,Hospitality Worker            ,10281.81818,11
2014,Belle of Louisville,Mate-Licensed                 ,33994.13333,3
2014,Belle of Louisville,Mate-Unlicensed               ,18772,2
2014,Belle of Louisville,Purser                        ,17901,2
2014,Belle of Louisville,Retail Sales/Gift Shop Superv ,30160,2
2015,Belle of Louisville,Accountant                    ,39624,1
2015,Belle of Louisville,Assistant Engineer            ,33280,1
2015,Belle of Louisville,Bartender                     ,11627.2,14
2015,Belle of Louisville,Captain-Master                ,69950.4,1
2015,Belle of Louisville,Captain-Pilot                 ,34408.34222,9
2015,Belle of Louisville,Cashier - Belle of Louisville ,22880,1
2015,Belle of Louisville,Chief Engineer                ,50980.8,3
2015,Belle of Louisville,Chief Executive Officer       ,86569.6,2
2015,Belle of Louisville,Chief Purser                  ,50793.6,1
2015,Belle of Louisville,Deckhand                      ,17102.22222,18
2015,Belle of Louisville,Education Coordinator         ,23982.4,1
2015,Belle of Louisville,Engineering Assistant         ,14371.5,4
2015,Belle of Louisville,Group Sales & Marketing Mgr   ,46800,1
2015,Belle of Louisville,Group Sales & Marketing Repres,28308.8,3
2015,Belle of Louisville,Hospitality Worker            ,9288.5,8
2015,Belle of Louisville,Mate-Licensed                 ,26104,1
2015,Belle of Louisville,Mate-Unlicensed               ,21673.6,3
2015,Belle of Louisville,Purser                        ,22526.4,5
2015,Belle of Louisville,Retail Sales/Gift Shop Superv ,30763.2,1
2016,Belle of Louisville,Accountant                    ,43680,1
2016,Belle of Louisville,Assistant Engineer            ,33945.6,1
2016,Belle of Louisville,Bartender                     ,11116.56,15
2016,Belle of Louisville,Belle of Louisville           ,17853.33333,3
2016,Belle of Louisville,Captain-Master                ,71344,1
2016,Belle of Louisville,Captain-Pilot                 ,31855.31556,9
2016,Belle of Louisville,Cashier - Belle of Louisville ,24398.4,1
2016,Belle of Louisville,Chief Engineer                ,51490.4,2
2016,Belle of Louisville,Chief Executive Officer       ,96158.4,1
2016,Belle of Louisville,Chief Purser                  ,51792,1
2016,Belle of Louisville,Deckhand                      ,17667.52,25
2016,Belle of Louisville,Education Coordinator         ,14989,1
2016,Belle of Louisville,Engineering Assistant         ,17792.66667,6
2016,Belle of Louisville,Group Sales & Marketing Mgr   ,47736,1
2016,Belle of Louisville,Group Sales & Marketing Repres,30430.4,2
2016,Belle of Louisville,Hospitality Worker            ,13480,13
2016,Belle of Louisville,Mate-Licensed                 ,26624,1
2016,Belle of Louisville,Mate-Unlicensed               ,22744.8,4
2016,Belle of Louisville,Purser                        ,26468,2
2016,Belle of Louisville,Retail Sales/Gift Shop Superv ,31366.4,1
2017,Belle of Louisville,Accountant                    ,43680,1
2017,Belle of Louisville,Assistant Engineer            ,33945.6,1
2017,Belle of Louisville,Bartender                     ,8682.266667,3
2017,Belle of Louisville,Captain-Master                ,71344,1
2017,Belle of Louisville,Captain-Pilot                 ,46820.8,4
2017,Belle of Louisville,Cashier - Belle of Louisville ,24398.4,1
2017,Belle of Louisville,Chief Engineer                ,51490.4,2
2017,Belle of Louisville,Chief Executive Officer       ,96158.4,1
2017,Belle of Louisville,Chief Purser                  ,51792,1
2017,Belle of Louisville,Deckhand                      ,21840,1
2017,Belle of Louisville,Engineering Assistant         ,23088,1
2017,Belle of Louisville,Group Sales & Marketing Mgr   ,47736,1
2017,Belle of Louisville,Group Sales & Marketing Repres,30430.4,2
2017,Belle of Louisville,Mate-Licensed                 ,26624,1
2017,Belle of Louisville,Mate-Unlicensed               ,21132.8,3
2017,Belle of Louisville,Purser                        ,27040,1
2017,Belle of Louisville,Retail Sales/Gift Shop Superv ,31366.4,1
2008,Board of Elections            ,Board of Elections Clerk      ,21975.48889,18
2008,Board of Elections            ,Co-Dir Board of Elections     ,75836.8,2
2008,Board of Elections            ,Commissioner                  ,28969.2,2
2008,Board of Elections            ,Courier                       ,11440,1
2008,Board of Elections            ,Driver - S1                   ,17680,6
2008,Board of Elections            ,External Operations Manager   ,48089.6,1
2008,Board of Elections            ,External Operations Supvsr    ,38459.2,1
2008,Board of Elections            ,Geographic Coordinator        ,35152,1
2008,Board of Elections            ,Info Systems Coordinator      ,58344,1
