Year,Department,JobTitle,RegularRate,OvertimeRate,IncentiveAllowance,Other
2008,Economic Development,Property Acquisition Spec     ,44561.75,0,0,790.7466667
2008,Economic Development,Property Acquisition Supvsr   ,61911.285,0,0,0
2008,Economic Development,Public Information Supvsr     ,58481.36,0,0,0
2008,Economic Development,Receptionist                  ,26203.13333,0,0,0
2008,Economic Development,Secretary                     ,33049.505,0,0,0
2008,Economic Development,Staff Helper/Internal         ,30341.14,0,0,0
2008,Economic Development,Workforce Development Coordina,41537.745,0,0,0
2008,Emergency Mgt Agency,Administrative Asst           ,30918.22667,1.85,0,0
2008,Emergency Mgt Agency,Administrative Coordinator    ,42780.74,3113.2,0,0
2008,Emergency Mgt Agency,Administrative Specialist     ,45908.5,0,0,0
2008,Emergency Mgt Agency,Assistant Director            ,75924.135,0,0,0
2008,Emergency Mgt Agency,Business Manager II           ,53649.68,0,0,0
2008,Emergency Mgt Agency,Communication Specialist  I   ,417.2,204,0,221
2008,Emergency Mgt Agency,Communication Specialist I U27,32175.68857,5825.560612,234.2657143,261.8993878
2008,Emergency Mgt Agency,Communication Specialist II   ,40266.83606,11114.12909,548.4824242,224.1230303
2008,Emergency Mgt Agency,Communications Tech I         ,19151.36667,7007.336667,349.87,149.4016667
2008,Emergency Mgt Agency,Director                      ,91449.83,0,0,0
2008,Emergency Mgt Agency,Emergency Comm Coord          ,43508.72,966.55,0,0
2008,Emergency Mgt Agency,Emergency Services Coord      ,44855.80333,0,0,0
2008,Emergency Mgt Agency,Geographic Info Syst Spec     ,35969.2525,0,0,0
2008,Emergency Mgt Agency,Geographic Info Syst Supvsr   ,49698.47,0,0,0
2008,Emergency Mgt Agency,Info Processing Tech-EMA/MS   ,23747.554,1494.695,557.348,178.099
2008,Emergency Mgt Agency,Info Systems Supvsr           ,52912.85,0,0,0
2008,Emergency Mgt Agency,Information Process Technician,3425.12,0,0,1278.23
2008,Emergency Mgt Agency,Management Assistant I        ,26507.47,984.43,0,0
2008,Emergency Mgt Agency,Management Assistant II       ,37431.13,9714.27,1220.5,185.76
2008,Emergency Mgt Agency,Quality Assurance Coordinator ,43837.24,1032.895,63.63,0
2008,Emergency Mgt Agency,Radio Syst Elec Supvsr I      ,60280.24,2560.37,0,0
2008,Emergency Mgt Agency,Radio Syst Elec Supvsr II     ,63729.53,0,0,0
2008,Emergency Mgt Agency,Radio Technician I            ,37367.30727,2271.72,0,73.51636364
2008,Emergency Mgt Agency,Radio Technician II           ,53416.55333,7448.056667,0,0
2008,Emergency Mgt Agency,Telecom Supvsr I              ,44715.82647,5066.551765,112.5917647,86.98235294
2008,Emergency Mgt Agency,Telecom Supvsr II             ,54481.445,0,0,0
2008,Emergency Mgt Agency,Telecom Training Spec         ,48693.92,1125.43,0,0
2008,Finance,Administrative Asst - S3      ,28441.1,0,0,0
2008,Finance,Administrative Coordinator    ,33857.35,511.94,0,0
2008,Finance,Administrative Specialist     ,47415.63,107.14,0,0
2008,Finance,Administrative Specialist - S3,53494.335,0,0,0
2008,Finance,Budget Analyst I              ,23724.92,2949.09,0,0
2008,Finance,Budget Analyst II             ,57623.764,0,0,0
2008,Finance,Buyer II                      ,31247.5825,619.895,0,126.5875
2008,Finance,Cashier                       ,33653.11,933.97,0,0
2008,Finance,Director                      ,95645.20333,0,2842.266667,5684.533333
2008,Finance,Executive Administrator       ,73469.848,0,0,2840.08
2008,Finance,Finance Accountant I          ,42949.46333,29.55,0,306.4583333
2008,Finance,Finance Accountant II         ,58866.775,0,0,0
2008,Finance,Finance Specialist            ,29068.0675,328.55,0,17.64125
2008,Finance,Finance Supvsr I              ,47915.495,11.965,0,0
2008,Finance,Finance Supvsr II             ,62316.94,0,0,0
2008,Finance,Graphic Specialist - S4       ,64115.51,0,0,0
2008,Finance,Info Systems Analyst          ,46033.31,472.95,0,0
2008,Finance,Investment Analyst            ,47623.6,10.21,0,0
2008,Finance,Management Assistant U310     ,28315.93,0,0,0
2008,Finance,OMB Risk Management Supvsr    ,60684.98,0,0,0
2008,Finance,Org Performance Admin         ,68934.55,0,0,0
2008,Finance,Payroll Analyst I             ,23641.2375,-47.53,0,1412.8
2008,Finance,Payroll Analyst II            ,41097.67,38.48,0,0
2008,Finance,Payroll Coordinator           ,43155.15,0,0,0
2008,Finance,Payroll Supvsr                ,67647.69,0,0,0
2008,Finance,Purchasing Supvsr             ,52712.2,0,0,0
2008,Finance,Risk Management Analyst       ,34114.17,4.88,0,0
2008,Finance,Risk Management Technician    ,26335.68,3.175,0,0
2008,Finance,Surplus Property Coordinator  ,35496.5,16.91,0,0
2008,Housing,Administrative Asst           ,36317.2,1.265,0,0
2008,Housing,Administrative Clerk          ,26550.01,0,0,0
2008,Housing,Administrative Specialist     ,18997.93,0,0,97.64
2008,Housing,Assistant Director            ,45415.89,0,0,0
2008,Housing,Business Accountant I         ,31028,0,0,0
2008,Housing,Business Specialist           ,25339.52,55.615,0,1213.78
2008,Housing,Clerk Typist I A/U U315       ,24168.04,0,685,0
2008,Housing,Comm Dev Program Analyst U315 ,20504.595,12.265,0,115.485
2008,Housing,Director                      ,88676.64,0,0,0
2008,Housing,Energy Conservation Coord     ,14341.6,0,0,1486.64
2008,Housing,Exec Administrator - NoEEORpt ,73641.79,0,0,0
2008,Housing,Executive Administrator       ,40972.56,0,0,297.7766667
2008,Housing,Executive Assistant           ,42105.59,60.18,0,0
2008,Housing,Grants Coordinator            ,39403.39,0,0,0
2008,Housing,Housing Program Assistant     ,35330.15,0,0,0
2008,Housing,Housing Program Specialist    ,32638.651,18.046,0,676.505
2008,Housing,Housing Program Supvsr        ,47138.514,43.524,0,0
2008,Housing,Housing Rehab Specialist C/U  ,40884.64167,0,0,0
2008,Housing,Housing Rehab Supervisor      ,4321.6,0,0,0
2008,Housing,Housing Rehab Technician U315 ,40428.11,0,1148.39,0
2008,Housing,Info Systems Specialist       ,44983.78,0,0,0
2008,Housing,Loan Specialist               ,31506.49,0,0,0
2008,Housing,Management Assistant U310     ,36831.45,178.71,1055.97,0
2008,Housing,Property Acquisition Spec     ,43187.12,0,0,0
2008,Housing,Property Acquisition Supvsr   ,45213.31,0,0,0
2008,Housing,Receptionist                  ,23089.44,0,0,0
2008,Housing,Resid Energy Consrv Tech U315 ,38304.21,61.14,1077.42,0
2008,Housing,Secretary                     ,33298.36667,0,0,0
2008,Housing,Social Service Prog Spec U315 ,35048.91,0,0,0
2008,Human Relations Commission,Administrative Asst           ,25292.53,0,0,0
2008,Human Relations Commission,Administrative Specialist     ,35665.04,209.93,0,0
2008,Human Relations Commission,Community Outreach Coord      ,47086.05,0,0,0
2008,Human Relations Commission,Compliance Analyst            ,35065.32,0,0,0
2008,Human Relations Commission,Compliance Officer            ,23825.33,0,0,150.01
2008,Human Relations Commission,Director                      ,49406.835,0,0,6357.4
2008,Human Relations Commission,Receptionist                  ,24367.78,0,0,0
2008,Human Relations Commission,Secretary                     ,27993.85,0,0,0
2008,Human Relations Commission,Staff Helper/External         ,4873.05,0,0,0
2008,Human Resources,Administrative Asst           ,28105.82,28.77777778,0,0
2008,Human Resources,Administrative Coordinator    ,46158.16,6.66,0,0
2008,Human Resources,Administrative Specialist     ,15784.67,31.565,0,0
2008,Human Resources,Assistant Director            ,96880.62,0,0,0
2008,Human Resources,Benefits and Compensation Supv,70616.99,0,0,0
2008,Human Resources,Board Member                  ,525,0,0,0
2008,Human Resources,Chief Examiner                ,54694.995,0,0,6140.8
2008,Human Resources,Communications Coordinator II ,43404.73,0,0,0
2008,Human Resources,Compliance Specialist         ,40629.725,0,0,0
2008,Human Resources,Director                      ,99761.6,0,0,0
2008,Human Resources,Employee Benefits Coordinator ,37883.27,247.35,0,0
2008,Human Resources,Employee Benefits Specialist  ,41164.855,951.015,0,0
2008,Human Resources,Executive Assistant           ,44391.94,15.86,0,0
2008,Human Resources,Health and Safety Specialist  ,50044.16,0,0,0
2008,Human Resources,Health and Safety Supervisor  ,58118.87,0,0,0
2008,Human Resources,Human Res Hiring Coord        ,26981.16286,3.188571429,0,408.5957143
2008,Human Resources,Human Resources Analyst       ,44067.0675,0,0,0
2008,Human Resources,Industrial Hygiene Specialist ,46551.78,3.4,0,0
2008,Human Resources,Info Systems Analyst          ,50464.925,0,0,0
2008,Human Resources,Info Systems Supvsr           ,71034.55,0,0,0
2008,Human Resources,Labor Negotiator              ,48361.65,0,0,0
2008,Human Resources,Labor Relations Spec - S4     ,38653.02,0,0,2756.9
2008,Human Resources,Legal Administrative Liaison  ,49452.26,0,0,0
2008,Human Resources,Recruitment Supvsr            ,71034.56,0,0,0
2008,Human Resources,Training Specialist           ,37304.355,20.395,0,0
2008,Human Services,Account Clerk U310            ,23305.8,12.4,0,0
2008,Human Services,Administrative Asst           ,29345.04,276.65,0,0
2008,Human Services,Administrative Coordinator    ,37949.12,0,0,0
2008,Human Services,Administrative Specialist     ,30893.69,0,0,0
2008,Human Services,Assistant Director            ,70048.52,0,0,0
2008,Human Services,Business Specialist           ,30550.5,0,0,0
2008,Human Services,Clerical Supvsr               ,37886.76,0,0,0
2008,Human Services,Comm Dev Program Analyst U315 ,2164.5,36.08,0,0
2008,Human Services,Executive Assistant           ,32930.33,0,0,0
2008,Human Services,Grants Coordinator            ,39123.44,0,0,0
2008,Human Services,Info & Referral Techn U315    ,27126.1125,0,553.145,0
2008,Human Services,Info Systems Analyst          ,39123.45,0,0,0
2008,Human Services,Info Systems Supvsr           ,55624.62,0,0,0
2008,Human Services,Intergenerational Prg Wkr U310,10781.79,140.6133333,306.0766667,473.9233333
2008,Human Services,Management Assistant U315     ,26412.65333,0,314.7666667,11.64111111
2008,Human Services,Nutrition Center Supv U310    ,13131.88417,722.3525,730.995,18.05166667
2008,Human Services,Planning & Research Supvsr    ,44329.44,0,0,0
2008,Human Services,Property & Leasing Supervisor ,26493.2,0,0,1000.9
2008,Human Services,Receptionist A/U U315         ,22428.95,0,682.58,0
2008,Human Services,Secretary - A/U U315          ,28161.25,0,537.42,0
2008,Human Services,Senior Social Worker U310     ,17138.446,3.96,0,1621.166
2008,Human Services,Senior Social Worker U315     ,41609.87844,0,586.8903125,348.7221875
2008,Human Services,Soc Svc Policy & Advocacy Supv,54164.72,0,0,0
2008,Human Services,Social Service Prog Coord     ,24482.01,0,0,0
2008,Human Services,Social Service Prog Spec U315 ,31990.16667,0,0,0
2008,Human Services,Social Service Technician U310,12199.035,276.34,452.825,316.57
2008,Human Services,Social Services Coordinator   ,52751.865,0,0,429.7716667
2008,Human Services,Social Services Manager       ,42519.78333,0,0,2386.316667
2008,Human Services,Social Services Supvsr        ,48328.53143,0,0,0
2008,Human Services,Social Worker U315            ,32364.64,16.61142857,0,0
2008,Human Services,Staff Helper/Internal         ,1760.85,0,0,0
2008,Human Services,Training Specialist           ,35538.1,0,0,0
2008,"Inspections, Permits & License",Administrative Asst           ,37658.3675,173.2025,0,0
2008,"Inspections, Permits & License",Administrative Clerk C/U      ,24178.23167,3.790833333,50,73.98916667
2008,"Inspections, Permits & License",Administrative Coordinator    ,37415.59667,128.5566667,0,0
2008,"Inspections, Permits & License",Administrative Specialist     ,28812.02,0,0,0
2008,"Inspections, Permits & License",Administrative Supvsr II      ,41648.345,0,0,64.015
2008,"Inspections, Permits & License",Assistant Director            ,72049.31,0,0,0
2008,"Inspections, Permits & License",Board Member                  ,2216.666667,0,0,0
2008,"Inspections, Permits & License",Building Inspection Supvsr    ,49981.79,0,0,0
2008,"Inspections, Permits & License",Business Manager I            ,43622.25,0,0,0
2008,"Inspections, Permits & License",Code Enforcement Supvsr       ,43806.3825,202.98,0,1917.4475
2008,"Inspections, Permits & License",Code Enfrcmnt Off I           ,32393.80609,167.093913,42.39130435,0
2008,"Inspections, Permits & License",Code Enfrcmnt Off II          ,38391.854,142.524,97.5,0
2008,"Inspections, Permits & License",Director                      ,104448.04,0,0,0
2008,"Inspections, Permits & License",Electrical Inspection Supvsr  ,49764.26,0,0,0
2008,"Inspections, Permits & License",Electrical Inspector I        ,35455.1175,858.1966667,135,54.36
2008,"Inspections, Permits & License",Electrical Inspector II       ,22952.065,296.6,0,564.875
2008,"Inspections, Permits & License",Executive Administrator       ,70137.25,0,0,0
2008,"Inspections, Permits & License",HVAC Inspection Supvsr        ,57661.22,0,0,0
2008,"Inspections, Permits & License",HVAC Inspector                ,16818.94,0,0,7788.8
2008,"Inspections, Permits & License",HVAC Inspector I              ,2391.36,0,0,251.48
2008,"Inspections, Permits & License",Info Systems Analyst          ,40318.59,0,0,0
2008,"Inspections, Permits & License",Info Systems Specialist       ,34426.16,0,0,0
2008,"Inspections, Permits & License",Info Systems Supvsr           ,58782.8,0,0,894.39
2008,"Inspections, Permits & License",Info Systems Technician C/U   ,4928.4,0,0,87.62
2008,"Inspections, Permits & License",Licenses & Permits Invest Supv,59801.84,5334.23,0,46
2008,"Inspections, Permits & License",Licenses & Permits Investig I ,27628.3,734.5725,0,149.5
2008,"Inspections, Permits & License",Licenses & Permits Investig II,40162.56,1988.245,0,460
2008,"Inspections, Permits & License",Payroll Specialist            ,32327.18,0,0,0
2008,"Inspections, Permits & License",Permit/License Assistant      ,31720.688,5.088,0,0
2008,"Inspections, Permits & License",Permit/License Coordinator    ,34467.82,0,0,0
2008,"Inspections, Permits & License",Permit/License Supvsr         ,45776.055,90.33,0,4049.6
2008,"Inspections, Permits & License",Plan Review Coordinator       ,19589.76,0,0,6202.67
2008,"Inspections, Permits & License",Plan Review Manager           ,53131.84,0,0,10384.94
2008,"Inspections, Permits & License",Plan Review Supvsr            ,49597.88,0,0,0
2008,"Inspections, Permits & License",PR/B/M Inspector I            ,33536.70333,0,0,0
2008,"Inspections, Permits & License",PR/B/M Inspector II           ,35257.7175,5.81875,79.6175,0
2008,"Inspections, Permits & License",PR/B/M Inspector III          ,47301.20667,30.88666667,832.795,28.66666667
2008,"Inspections, Permits & License",PR/B/M Inspector Trainee      ,42807.43182,21.89454545,637.2881818,0
2008,Internal Auditor,Assistant Director            ,67428.98,0,0,5197.225
2008,Internal Auditor,Director                      ,105235.18,0,0,0
2008,Internal Auditor,Internal Audit Manager        ,38442.56,0,0,0
2008,Internal Auditor,Internal Auditor II           ,49166.2525,0,0,0
2008,Library,Account Clerk II Library      ,29679.67,0,350,0
2008,Library,Administrative Asst           ,27225.15,0,0,0
2008,Library,Administrative Clerk          ,15174.48,0,0,345.545
2008,Library,Assistant Director            ,65356.60667,0,0,1748.04
2008,Library,Business Clerk                ,3919.85,0,0,186.34
2008,Library,Business Manager II           ,47356.75,0,0,8130.47
2008,Library,Community Outreach Coord      ,37262.76,6.79,0,0
2008,Library,Computer Operator L/U         ,16613.03,75.29,0,139.25
2008,Library,Computer Srvcs Manager        ,73591.2,0,0,-1402.4
2008,Library,Custodian I L/U               ,10722.07,6.81,0,0
2008,Library,Director                      ,125667.02,0,0,0
2008,Library,Executive Assistant           ,33792.67,0,0,0
2008,Library,Facilities Maint. Manager     ,49981.57,0,0,0
2008,Library,Facilities Maint. Supvsr II   ,36556.42,0,0,0
2008,Library,Graphic Artist - Library      ,40509.71,0,100,1.06
2008,Library,Info Systems Supvsr           ,52122.43,0,0,0
2008,Library,Librarian I                   ,40411.6925,0,0,0
2008,Library,Librarian II                  ,41147.70909,0,0,433.7518182
2008,Library,Librarian III                 ,50160.67077,0,0,633.3461538
2008,Library,Librarian IV                  ,58406.635,0,0,0
2008,Library,Librarian L/U                 ,40666.51875,2409.528333,175,76.83875
2008,Library,Library Assistant L/U         ,27079.85069,1267.980694,118.75,392.6369444
2008,Library,Library Children Srvcs Mngr   ,35904.27,0,0,10185.6
2008,Library,Library Clerk L/U             ,17099.16964,1026.807381,88.0952381,98.58619048
2008,Library,Library Clerk-Technical Svcs  ,21068.215,0,270,99.525
2008,Library,Library Courier L/U           ,25038.66,151.36,175,0
2008,Library,Library Page                  ,3422.35,0,0,0
2008,Library,Library Page L/U              ,5198.091316,105.8428947,12.5,78.07828947
2008,Library,Library Program Coordinator   ,52288.8,0,0,0
2008,Library,Library Services Manager      ,68229.38667,0,0,0
2008,Library,Library Technician L/U        ,24788.57667,0,200,850.3
2008,Library,Maintenance Mechanic Lib      ,40671.525,983.03,100,0
2008,Library,Maintenance Wkr II-L/U        ,27568.77,672.505,175,1.455
2008,Library,PC Analyst - L/U              ,42592.37667,11.27333333,50,38.28333333
2008,Library,Personnel Coordinator         ,49981.77,0,0,0
2008,Library,Print & Audio Equip Oper L/U  ,37689.45,244.23,350,3.08
2008,Library,Procurement Specialist        ,21048.48,0,0,3289.01
